Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M03;155.919
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M02;127.688
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M01;106.835
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2026M04;182.493
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2026M03;109.663
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2026M02;93.925
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2026M01;70.367
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M12;96.936
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M11;101.636
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M10;160.796
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M09;203.871
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M08;294.193
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M07;279.008
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M06;243.945
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M05;202.150
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M04;163.095
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M03;97.945
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;Residentes en España;2025M02;87.079
